i,j,@count_type,@count_dir,@t_count
40350,240853,2,1,1067
42064,204255,2,1,60
198300,198301,2,1,83
199880,199913,1,1,70
199882,199883,1,1,13
200708,203644,1,1,134
200979,200219,2,1,117
201734,199094,1,1,923
201739,199101,1,1,600
204685,40420,1,1,37
204905,200231,2,1,367
213936,205306,2,1,1667
221036,204952,1,1,790
221796,40347,2,1,1800
280346,201316,2,1,2250
800004,800003,1,1,5200
800007,800006,2,1,5467
800020,800000,1,1,3567
800022,800021,2,1,2567
801001,801000,1,1,5417
801002,801001,2,1,8600
801029,801000,1,1,1879
801030,801029,2,1,2983
802008,802042,1,1,1000
802029,802028,2,1,117
802097,802098,1,1,390
802124,802123,1,1,873
802134,802133,2,1,283
802165,802164,2,1,283
