i,j,@count_type,@count_dir,@b_count
40211,43565,1,1,1013
40350,240853,2,1,2207
50446,43573,2,1,1143
50507,201013,1,1,1163
198301,50443,2,1,197
199164,199163,2,1,251
199221,201859,2,1,952
199516,240783,2,1,470
199597,40538,1,1,2781
199881,199882,1,1,161
199940,280200,2,1,61
199993,200645,2,1,455
200188,201376,1,1,286
200208,212933,2,1,1876
200708,203644,1,1,3811
201151,201145,2,1,81
202499,40212,1,1,430
204685,40420,1,1,1546
204778,210905,2,1,585
204895,204893,2,1,402
204906,204905,2,1,1882
205149,42196,2,1,664
212128,212130,2,1,129
214270,201739,1,1,504
221036,204952,1,1,2825
221245,201145,2,1,299
221796,40347,2,1,355
240841,201734,1,1,1293
300032,300028,2,1,265
300035,199020,2,1,565
300042,204893,2,1,13
320302,320346,2,1,1060
320306,320305,2,1,1068
802234,201145,2,1,531
40212,202499,1,2,430
40347,221796,2,2,355
40420,204685,1,2,1546
40538,199597,1,2,2781
42196,205149,2,2,664
43565,40211,1,2,1013
43573,50446,2,2,1143
50443,198301,2,2,197
199020,300035,2,2,565
199163,199164,2,2,251
199882,199881,1,2,161
200645,199993,2,2,455
201013,50507,1,2,1163
201145,201151,2,2,81
201145,221245,2,2,299
201145,802234,2,2,531
201376,200188,1,2,286
201734,240841,1,2,1293
201739,214270,1,2,504
201859,199221,2,2,952
203644,200708,1,2,3811
204893,204895,2,2,402
204893,300042,2,2,13
204905,204906,2,2,1882
204952,221036,1,2,2825
210905,204778,2,2,585
212130,212128,2,2,129
212933,200208,2,2,1876
240783,199516,2,2,470
240853,40350,2,2,2207
280200,199940,2,2,61
300028,300032,2,2,265
320305,320306,2,2,1068
320346,320302,2,2,1060
199579,199582,4,3,486
205214,205215,4,3,139
199582,199579,4,4,486
205215,205214,4,4,139
