sij2019	postal_code	share
101	100	1
102	100	1
103	100	0.565163037630369
103	170	0.204370188158963
103	260	0.0263059998938013
103	530	0.204160774316867
104	100	0.742794511575172
104	170	0.257205488424828
105	100	0.775738373434748
105	170	0.224261626565252
111	150	0.00108439940966934
111	180	0.968572904920768
111	220	0.0303426956695623
112	100	0.322626049738201
112	180	0.677373950261799
113	100	1
114	100	0.763347470180003
114	120	0.125304574611643
114	180	0.111347955208354
115	100	0.00942401754301628
115	120	0.915611174721136
115	180	0.0749648077358475
116	100	0.473993231435252
116	120	0.526006768564748
117	100	0.910127610232447
117	120	0.089872389767553
118	100	1
131	120	0.310174428059281
131	150	0.666920913498983
131	180	0.0229046584417358
132	120	0.068529064960335
132	150	0.882258210224944
132	180	0.0492127248147215
133	120	0.823518073864478
133	150	0.176481926135522
141	120	0.0845568457305363
141	130	0.913438747366433
141	160	0.00200440690303043
142	100	0.219225978242537
142	120	0.0380675335172338
142	130	0.742706488240229
143	100	0.0282138218347859
143	130	0.682676677783002
143	160	0.0577111998557367
143	170	0.231398300526475
151	100	0.000508618891906802
151	170	0.999491381108093
152	170	1
153	170	0.998809651055095
153	530	0.0011903489449047
154	160	0.107625410862096
154	170	0.875815557604833
154	530	0.000334606521826621
154	570	0.0162244250112449
161	130	0.0232677424467692
161	140	0.0244029164898203
161	160	0.947523037417449
161	170	0.00480630364596191
162	160	0.610913211702086
162	570	0.253134661099727
162	590	0.135952127198186
171	130	0.00316962580074568
171	140	0.613418202972898
171	160	0.226604361270307
171	190	0.0582490550779061
171	570	0.00168779387125863
171	590	0.0888989439426643
171	860	0.0079720170642197
172	140	0.649349829720204
172	150	0.350650170279796
173	150	1
174	120	0.258674401867267
174	130	0.135088479730738
174	140	0.380407809731625
174	150	0.22582930867037
175	130	0.621364497136347
175	140	0.378635502863653
181	150	1
182	150	0.978857330604208
182	180	0.0211426693957924
183	150	1
191	150	0.374909951969483
191	180	0.128591548615474
191	210	0.201979652281543
191	220	0.294518847133501
192	180	0.777523128350315
192	210	0.222476871649685
193	180	0.727286672171245
193	210	0.0980303558929113
193	220	0.174682971935844
194	180	0.783388088894853
194	200	0.183876078440802
194	210	0.0327358326643447
195	180	0.898363384339599
195	220	0.101636615660401
196	180	0.00302536701384918
196	220	0.996974632986151
197	150	0.0730835907008308
197	180	0.0227748854840072
197	220	0.904141523815162
201	100	0.0869311873015465
201	180	0.846531808110663
201	200	0.0665370045877902
202	100	0.44737854518853
202	180	0.55262145481147
203	180	0.995509815062
203	220	0.00449018493799965
211	100	0.660907795029479
211	180	0.000271461840345958
211	200	0.0543353319830131
211	250	0.258726936979082
211	260	0.0257584741680796
212	100	0.911662798190457
212	260	0.0883372018095425
213	100	0.991593803549651
213	180	0.00840619645034884
214	100	0.979575346302223
214	260	0.0204246536977772
215	100	0.88375327535572
215	260	0.11624672464428
221	250	0.838135921977462
221	260	0.161864078022538
222	250	0.0545892323355117
222	260	0.945410767664488
223	250	0.999273113740989
223	260	0.000726886259010574
224	250	0.206361760637599
224	260	0.793638239362401
225	250	0.748169959696144
225	260	0.235591632814802
225	510	0.00186116314471733
225	520	0.00391814493956369
225	530	0.010459099404773
231	100	0.000147133562889136
231	200	0.0107344785975046
231	250	0.705392280417979
231	330	0.000620220265646937
231	340	0.28310588715598
232	250	0.935033266294029
232	270	0.0282521883499919
232	290	0.0279389244569757
232	330	0.00877562089900312
233	270	1
234	250	0.18542883370851
234	270	0.0527644149455692
234	290	0.761806751345921
235	250	0.00721424543273265
235	270	0.988120590671199
235	280	0.00466516389606796
236	240	0.0793154166995327
236	250	0.537187919217142
236	270	0.383496664083325
241	240	0.1791635173591
241	270	0.00736404269592295
241	280	0.724626208746153
241	300	0.0012308596485697
241	310	0.0876153715502542
242	270	1
243	270	0.0243955308461164
243	280	0.0472937201634069
243	300	0.92572947378748
243	310	0.00258127520299702
244	300	0.990339604366742
244	320	0.00856683313922061
244	350	0.00109356249403696
251	240	0.669354667725155
251	250	0.330645332274845
252	240	1
253	240	0.79818855518205
253	310	0.20181144481795
254	240	0.468217315674506
254	250	0.0152438111302039
254	520	0.51653887319529
255	240	0.743424839522244
255	520	0.256575160477756
260	240	0.527458529199576
260	310	0.0771190034392857
260	320	0.0334654776791832
260	610	0.0789167053666574
260	620	0.283040284315297
271	240	0.0295346322770906
271	520	0.862003354573048
271	610	0.108462013149862
272	520	0.600700372669582
272	610	0.399299627330418
281	170	0.0110704307660944
281	530	0.988929569233906
282	170	0.0560968904765377
282	530	0.943903109523462
291	260	0.237033924971697
291	530	0.762966075028303
292	530	1
293	530	1
294	500	0.537376734557897
294	530	0.462623265442103
301	170	0.154005180323134
301	530	0.0211970751035518
301	540	0.784517249506469
301	570	0.0402804950668453
