i,j,@count_type,@count_dir,@c_count
204855,205060,0,0,519
204855,205090,0,0,1456
204951,204680,0,0,68
204952,221036,0,0,969
204957,202241,0,0,134
205059,199920,0,0,3326
205060,204855,0,0,2042
205060,212914,0,0,1245
205071,204680,0,0,869
205115,202242,0,0,196
205134,201408,0,0,38
205147,204681,0,0,267
205172,214312,0,0,238
205173,203788,0,0,950
205173,221970,0,0,250
205193,204682,0,0,591
205228,200532,0,0,304
205231,200532,0,0,535
205294,200532,0,0,209
205294,205311,0,0,171
205311,42901,0,0,1262
205311,203326,0,0,2290
205311,205294,0,0,204
205311,205312,0,0,84
205312,205311,0,0,74
205333,43568,0,0,1277
205333,50516,0,0,1368
205333,199687,0,0,217
211040,211041,0,0,364
211041,211040,0,0,268
211041,213104,0,0,472
211041,213105,0,0,48
211041,214278,0,0,279
211413,211414,0,0,535
211414,211413,0,0,420
211415,204346,0,0,365
211416,211417,0,0,490
211417,211416,0,0,450
211417,211418,0,0,650
211418,211417,0,0,800
211421,211423,0,0,434
211423,199736,0,0,253
211423,199737,0,0,785
211423,211421,0,0,565
211612,203035,0,0,233
211612,204637,0,0,98
211612,213841,0,0,252
212248,212914,0,0,360
212415,201506,0,0,1150
212794,213798,0,0,350
212910,200028,0,0,929
212913,212914,0,0,1351
212914,205060,0,0,1499
212914,212248,0,0,289
212914,212913,0,0,1168
213104,211041,0,0,349
213695,199736,0,0,351
213798,212413,0,0,525
213798,213797,0,0,662
213841,211612,0,0,207
214180,221129,0,0,330
214270,201739,0,0,596
214278,211041,0,0,241
214312,214313,0,0,205
220947,200095,0,0,105
221036,204952,0,0,1082
221129,202841,0,0,720
221129,204678,0,0,255
221129,214180,0,0,430
221967,200730,0,0,235
221968,221969,0,0,211
221969,221968,0,0,221
221970,205173,0,0,188
222047,199453,0,0,530
222163,222164,0,0,693
222164,222163,0,0,799
240841,199439,0,0,1183
280040,200042,0,0,228
280342,199575,0,0,583
290000,202505,0,0,279
40274,50136,0,0,1113
40279,210008,0,0,556
40283,40278,0,0,272
40287,40278,0,0,400
40288,40279,0,0,760
40291,209222,0,0,360
40341,218582,0,0,1217
40624,216179,0,0,90
40629,205935,0,0,3744
41055,226257,0,0,540
41056,226257,0,0,270
41777,228376,0,0,450
41778,228376,0,0,370
41779,41777,0,0,370
41780,41778,0,0,400
41781,228110,0,0,520
41976,226759,0,0,264
41977,41984,0,0,301
41984,41977,0,0,264
42020,220727,0,0,2288
42030,220614,0,0,844
42139,280035,0,0,542
42144,210008,0,0,474
