i,j,@count_type,@count_dir,@t_count
40347,221796,2,2,19000
40350,240853,2,1,13100
40420,204685,1,2,1385
42031,225749,4,4,760
42064,204255,2,1,650
195620,197730,2,2,22250
198300,198301,2,1,22250
199020,204893,2,2,125
199094,201734,1,2,16860
199101,201739,1,2,13365
199880,199913,1,1,22855
199882,199883,1,1,1435
199883,199882,1,2,1435
200083,200148,4,4,7070
200148,200083,4,3,7070
200219,200979,2,2,1900
200708,203644,1,1,11060
200943,203855,4,3,1210
200979,200219,2,1,1900
201316,280346,2,2,16175
201734,199094,1,1,16860
201739,199101,1,1,13365
203644,200708,1,2,11060
203855,200943,4,4,1210
204255,42064,2,2,650
204685,40420,1,1,1385
204871,213218,4,3,8975
204893,199020,2,1,125
204905,200231,2,1,5275
204952,221036,1,2,14935
205059,199920,1,2,22855
205214,205215,4,3,3500
205215,205214,4,4,3500
205306,213936,2,2,18625
208143,199943,2,2,5275
211157,211158,4,3,9735
211158,211157,4,4,9735
213218,204871,4,4,8975
213723,221928,4,3,1840
213936,205306,2,1,18625
221036,204952,1,1,14935
221796,40347,2,1,19000
222662,222663,4,4,5785
222681,222194,4,3,5785
225749,42031,4,3,760
239400,239401,4,4,1840
240853,40350,2,2,13100
280346,201316,2,1,16175
800003,800004,1,2,62015
800004,800003,1,1,62015
800006,800007,2,2,65850
800007,800006,2,1,65850
801000,801001,1,2,36637
801000,801029,1,2,28008
801001,801000,1,1,36637
801001,801002,2,2,47975
801002,801001,2,1,47975
801029,801000,1,1,28008
801029,801030,2,2,36675
801030,801029,2,1,36675
802008,802042,1,1,13850
802028,802029,2,2,875
802029,802028,2,1,875
802042,802008,1,2,13850
802088,802089,4,3,2750
802089,802088,4,4,2750
802097,802098,1,1,4900
802098,802097,1,2,4900
802123,802124,1,2,13915
802124,802123,1,1,13915
802133,802134,2,2,3100
802134,802133,2,1,3100
802164,802165,2,2,4550
802165,802164,2,1,4550
