i,j,@count_type,@count_dir,@c_count
40347,221796,2,2,18287
40350,240853,2,1,14620
40420,204685,1,2,16627
41018,67692,3,1,201
41053,227816,3,2,5680
41720,280174,6,4,32481
41724,217418,6,3,31375
41829,310274,7,4,33756
42043,212511,5,3,54384
42064,204255,2,1,3166
42400,212062,3,2,3481
42473,214168,5,4,33722
42816,185981,7,3,35117
43468,64379,3,2,2426
50080,197731,3,2,36296
50081,198301,2,1,34749
50169,227267,3,1,18108
50211,50212,3,2,17413
50285,225785,3,2,28830
50424,50429,3,1,48167
50428,50425,3,2,45612
50433,50435,5,4,57793
50434,50432,5,3,56298
50507,201013,1,1,3037
64379,43468,3,1,1900
65756,50210,3,1,17554
66110,310608,3,1,357
67692,41018,3,2,223
185965,186693,3,1,7437
185980,42815,7,4,34118
186693,185965,3,2,7947
195620,50080,2,2,36296
197763,200018,3,1,7627
198816,210405,5,3,40385
198824,198817,5,4,35310
199020,204893,2,2,8748
199094,201734,1,2,12305
199097,201375,1,1,2654
199101,201739,1,2,8654
199221,201859,2,1,2501
199549,199595,4,3,15883
199595,199549,4,4,15853
199880,199913,1,1,25005
199882,199883,1,1,6543
199883,199882,1,2,7039
200018,197763,3,2,7458
200083,200148,4,4,10997
200148,200083,4,3,12754
200219,200979,2,2,12881
200708,203644,1,1,6639
200943,203855,4,3,7987
200979,200219,2,1,10379
201013,50507,1,2,2293
201316,280346,2,2,21055
201375,199097,1,2,2418
201734,199094,1,1,13442
201739,199101,1,1,9233
201859,199221,2,2,1893
203644,200708,1,2,6088
203855,200943,4,4,6668
204255,42064,2,2,3166
204685,40420,1,1,14750
204695,221777,2,1,9589
204893,199020,2,1,9508
204905,200231,2,1,24664
204952,221036,1,2,9429
205059,199920,1,2,27261
205214,205215,4,3,22618
205215,205214,4,4,23667
205306,213936,2,2,14659
208143,199943,2,2,23202
208400,228190,7,3,32180
209145,209146,3,2,9390
209146,209145,3,1,11831
210728,50081,3,1,34749
210816,40302,7,4,14665
211157,211158,4,3,3306
211158,211157,4,4,3078
211202,214195,3,2,6595
212062,42400,3,1,2588
212698,310133,3,2,15246
213723,221928,4,3,60194
213936,205306,2,1,13925
214195,211202,3,1,7280
214258,213997,5,3,35913
217544,217554,7,4,25150
217719,197594,6,4,32138
217837,238898,3,2,6401
218158,217174,7,3,24025
218566,221992,3,1,4926
218703,310203,3,1,34210
220697,220714,3,1,39774
221036,204952,1,1,13260
221777,204695,2,2,8367
221796,40347,2,1,16268
221992,218566,3,2,5831
222578,222577,3,1,18849
225504,228197,3,2,8087
225628,50284,3,1,29967
225717,227028,3,2,6394
226140,310279,7,3,31866
226897,226898,3,1,9198
227221,227222,7,3,25310
227265,225450,3,1,10287
227461,65574,3,2,18691
227816,41053,3,1,5936
227970,225931,3,1,6147
228197,225504,3,1,7773
228270,226469,3,2,9028
228529,206879,7,4,29924
228887,40214,7,4,24793
238032,40303,7,3,13381
238898,217837,3,1,5739
239371,218852,3,2,41204
239390,212271,5,4,51804
239400,239401,4,4,60918
240853,40350,2,2,14303
280175,41721,6,3,34396
280346,201316,2,1,22214
300054,280061,3,2,18116
310135,212699,3,1,15088
310225,310202,3,2,32435
310608,66110,3,2,374
